what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1344971374478
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1344971374478
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1344971374478
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1344971374478
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1344971374478
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1344971374478
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1344971374478
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1344971374478
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1344971374478
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1344971374478
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1344971374478
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1344971374478
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1344971374478
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1344971374478
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1344971374478
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1344971374478
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1344971374478
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1344971374478
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1344971374478
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1344971374478
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1344971374478
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1344971374478
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1344971374478
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1344971374478
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1344971374478
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1344971374478
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1344971374478
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1344971374478
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1344971374478
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1344971374478
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1344971374478
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1344971374478
started,bundle,org.codehaus.groovy,1.8.4.xx-20111212-0900-e37-RELEASE,"org.codehaus.groovy",1344971374478
started,bundle,org.codehaus.groovy.eclipse.core,2.6.0.xx-20111212-0900-e37-RELEASE,"org.codehaus.groovy.eclipse.core",1344971374478
started,bundle,org.codehaus.groovy.eclipse.dsl,2.6.0.xx-20111212-0900-e37-RELEASE,"org.codehaus.groovy.eclipse.dsl",1344971374478
started,bundle,org.codehaus.groovy.eclipse.ui,2.6.0.xx-20111212-0900-e37-RELEASE,"org.codehaus.groovy.eclipse.ui",1344971374478
started,bundle,org.eclipse.jdt.core,3.7.1.xx-20111212-0900-e37-RELEASE,"org.eclipse.jdt.core",1344971374478
started,bundle,org.eclipse.jdt.groovy.core,2.6.0.xx-20111212-0900-e37-RELEASE,"org.eclipse.jdt.groovy.core",1344971374478
started,bundle,com.springsource.sts.config.ui,2.8.1.201111221000-RELEASE,"com.springsource.sts.config.ui",1344971374478
started,bundle,com.springsource.sts.content.core,2.8.1.201111221000-RELEASE,"com.springsource.sts.content.core",1344971374478
started,bundle,com.springsource.sts.core,2.8.1.201111221000-RELEASE,"com.springsource.sts.core",1344971374478
started,bundle,com.springsource.sts.ide.configurator,2.8.1.201111221000-RELEASE,"com.springsource.sts.ide.configurator",1344971374478
started,bundle,com.springsource.sts.ide.help,2.8.1.201111221000-RELEASE,"com.springsource.sts.ide.help",1344971374478
started,bundle,com.springsource.sts.ide.ui,2.8.1.201111221000-RELEASE,"com.springsource.sts.ide.ui",1344971374478
started,bundle,com.springsource.sts.maven,2.8.1.201111221000-RELEASE,"com.springsource.sts.maven",1344971374478
started,bundle,com.springsource.sts.roo.ui,2.8.1.201111221000-RELEASE,"com.springsource.sts.roo.ui",1344971374478
started,bundle,com.springsource.sts.server.insight.ui,2.8.1.201111221000-RELEASE,"com.springsource.sts.server.insight.ui",1344971374478
started,bundle,com.springsource.sts.ui,2.8.1.201111221000-RELEASE,"com.springsource.sts.ui",1344971374478
started,bundle,com.springsource.sts.wizard,2.8.1.201111221000-RELEASE,"com.springsource.sts.wizard",1344971374478
started,bundle,org.aspectj.ajde,1.7.0.20111123094400,"org.aspectj.ajde",1344971374478
started,bundle,org.eclipse.contribution.weaving.jdt,2.2.0.e37x-20111207-1200,"org.eclipse.contribution.weaving.jdt",1344971374478
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.1.R3_7,"org.eclipse.equinox.weaving.aspectj",1344971374478
started,bundle,org.eclipse.equinox.weaving.caching,1.0.100.R3_7,"org.eclipse.equinox.weaving.caching",1344971374478
started,bundle,org.eclipse.equinox.weaving.caching.j9,1.0.100.R3_7,"org.eclipse.equinox.weaving.caching.j9",1344971374478
started,bundle,org.springframework.ide.eclipse.beans.core,2.8.1.201111220115-RELEASE,"org.springframework.ide.eclipse.beans.core",1344971374478
started,bundle,org.springframework.ide.eclipse.beans.ui,2.8.1.201111220115-RELEASE,"org.springframework.ide.eclipse.beans.ui",1344971374478
started,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.8.1.201111220115-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1344971374478
started,bundle,org.springframework.ide.eclipse.core,2.8.1.201111220115-RELEASE,"org.springframework.ide.eclipse.core",1344971374478
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.8.1.201111220115-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1344971374478
